"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 19 12:23:11 GMT 2024","Fri Apr 19 12:23:11 GMT 2024","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Fri Apr 19 12:23:13 GMT 2024","Fri Apr 19 12:23:13 GMT 2024","177","tests","test_steps","","","","test_decorator_steps",""
"broken","Fri Apr 19 12:23:12 GMT 2024","Fri Apr 19 12:23:12 GMT 2024","174","tests","test_selene","","","","test_github",""
"broken","Fri Apr 19 12:23:11 GMT 2024","Fri Apr 19 12:23:11 GMT 2024","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Fri Apr 19 12:23:11 GMT 2024","Fri Apr 19 12:23:11 GMT 2024","0","tests","test_labels","","","","test_decorator_labels_1",""
"broken","Fri Apr 19 12:23:10 GMT 2024","Fri Apr 19 12:23:10 GMT 2024","0","tests","test_attachments","","","","test_attachments",""
"broken","Fri Apr 19 12:23:12 GMT 2024","Fri Apr 19 12:23:12 GMT 2024","177","tests","test_steps","","","","test_dynamic_steps",""
