"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 19 12:37:48 GMT 2024","Fri Apr 19 12:37:48 GMT 2024","175","tests","test_steps","","","","test_decorator_steps",""
"broken","Fri Apr 19 12:37:42 GMT 2024","Fri Apr 19 12:37:47 GMT 2024","5242","tests","test_selene","","","","test_github",""
"passed","Fri Apr 19 12:37:42 GMT 2024","Fri Apr 19 12:37:42 GMT 2024","1","tests","test_labels","","","","test_decorator_labels",""
"broken","Fri Apr 19 12:37:48 GMT 2024","Fri Apr 19 12:37:48 GMT 2024","176","tests","test_steps","","","","test_dynamic_steps",""
"passed","Fri Apr 19 12:37:42 GMT 2024","Fri Apr 19 12:37:42 GMT 2024","1","tests","test_attachments","","","","test_attachments",""
"passed","Fri Apr 19 12:37:42 GMT 2024","Fri Apr 19 12:37:42 GMT 2024","0","tests","test_labels","","","","test_decorator_labels_1",""
"passed","Fri Apr 19 12:37:42 GMT 2024","Fri Apr 19 12:37:42 GMT 2024","0","tests","test_labels","","","","test_dynamic_labels",""
