"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 19 12:18:58 GMT 2024","Fri Apr 19 12:18:58 GMT 2024","1","tests","test_attachments","","","","test_attachments",""
"broken","Fri Apr 19 12:19:03 GMT 2024","Fri Apr 19 12:19:03 GMT 2024","0","tests","test_labels","","","","test_decorator_labels_1",""
"broken","Fri Apr 19 12:19:04 GMT 2024","Fri Apr 19 12:19:04 GMT 2024","173","tests","test_steps","","","","test_decorator_steps",""
"broken","Fri Apr 19 12:19:02 GMT 2024","Fri Apr 19 12:19:02 GMT 2024","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Fri Apr 19 12:19:03 GMT 2024","Fri Apr 19 12:19:04 GMT 2024","174","tests","test_steps","","","","test_dynamic_steps",""
"broken","Fri Apr 19 12:19:02 GMT 2024","Fri Apr 19 12:19:02 GMT 2024","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Fri Apr 19 12:19:03 GMT 2024","Fri Apr 19 12:19:03 GMT 2024","178","tests","test_selene","","","","test_github",""
